District,Zone,Variety_Code,Year,Season,Cultivated_Extent_Ha,Age_Group,Grain_Type,Grain_Color,Salinity_Prone,Iron_Toxicity_Prone,Temperature,Humidity,Soil_Moisture
Gampaha,Wet Zone,Bw 367,2021,Annual,6662,3.5 Months,Short Grain (Samba),White,No,Yes,26.36219178082192,84.52054794520548,0.43679178082191783
Gampaha,Wet Zone,Bg 366,2021,Annual,3073,3.5 Months,Long Grain (Nadu),White,No,No,26.36219178082192,84.52054794520548,0.43679178082191783
Gampaha,Wet Zone,Bg 359,2021,Annual,2685,3.5 Months,Long Grain (Nadu),White,No,No,26.36219178082192,84.52054794520548,0.43679178082191783
Gampaha,Wet Zone,Bg 369,2021,Annual,656,3.5 Months,Long Grain (Nadu),White,Yes,No,26.36219178082192,84.52054794520548,0.43679178082191783
Gampaha,Wet Zone,Bg 250,2023,Annual,7876,2.5 Months,Long Grain (Nadu),White,No,No,26.169041095890414,85.38356164383562,0.4371561643835617
Gampaha,Wet Zone,Bw 367,2023,Annual,3855,3.5 Months,Short Grain (Samba),White,No,Yes,26.169041095890414,85.38356164383562,0.4371561643835617
Gampaha,Wet Zone,Bg 300,2023,Annual,1605,3 Months,Long Grain (Nadu),White,No,No,26.169041095890414,85.38356164383562,0.4371561643835617
Kalutara,Wet Zone,Bg 300,2021,Annual,4384,3 Months,Long Grain (Nadu),White,No,No,26.425753424657533,84.83287671232877,0.4475452054794521
Kalutara,Wet Zone,Bw 367,2021,Annual,4364,3.5 Months,Short Grain (Samba),White,No,Yes,26.425753424657533,84.83287671232877,0.4475452054794521
Kalutara,Wet Zone,Ld 368,2021,Annual,3300,3.5 Months,Short Grain (Samba),Red,No,No,26.425753424657533,84.83287671232877,0.4475452054794521
Kalutara,Wet Zone,Bw 372,2021,Annual,2661,3.5 Months,Long Grain (Nadu),Red,No,Yes,26.425753424657533,84.83287671232877,0.4475452054794521
Kalutara,Wet Zone,Bw 312,2021,Annual,550,3 Months,Long Grain (Nadu),Red,No,Yes,26.425753424657533,84.83287671232877,0.4475452054794521
