District,Zone,Variety_Code,Year,Season,Cultivated_Extent_Ha,Age_Group,Grain_Type,Grain_Color,Salinity_Prone,Iron_Toxicity_Prone
Kalutara,Wet Zone,Bw 364,2023,Annual,307,3.5 Months,Long Grain (Nadu),Red,No,Yes
Galle,Wet Zone,At 362,2021,Annual,10396,3.5 Months,Long Grain (Nadu),Red,No,No
Galle,Wet Zone,Ld 368,2021,Annual,3531,3.5 Months,Short Grain (Samba),Red,No,No
Galle,Wet Zone,Bw 372,2021,Annual,3190,3.5 Months,Long Grain (Nadu),Red,No,Yes
Galle,Wet Zone,At 362,2023,Annual,7893,3.5 Months,Long Grain (Nadu),Red,No,No
Galle,Wet Zone,Bw 372,2023,Annual,3312,3.5 Months,Long Grain (Nadu),Red,No,Yes
Galle,Wet Zone,Ld 368,2023,Annual,2564,3.5 Months,Short Grain (Samba),Red,No,No
Matara,Wet Zone,At 362,2021,Annual,16331,3.5 Months,Long Grain (Nadu),Red,No,No
Matara,Wet Zone,Bg 366,2021,Annual,5739,3.5 Months,Long Grain (Nadu),White,No,No
Matara,Wet Zone,Bg 379-2,2021,Annual,1989,4-4.5 Months,Long Grain (Nadu),White,No,No
Matara,Wet Zone,At 362,2023,Annual,16822,3.5 Months,Long Grain (Nadu),Red,No,No
Matara,Wet Zone,Bg 366,2023,Annual,5473,3.5 Months,Long Grain (Nadu),White,No,No
Matara,Wet Zone,Bg 379-2,2023,Annual,1443,4-4.5 Months,Long Grain (Nadu),White,No,No
Hambantota,Dry Zone,At 362,2021,Annual,50471,3.5 Months,Long Grain (Nadu),Red,No,No
Hambantota,Dry Zone,Bg 352,2021,Annual,519,3.5 Months,Long Grain (Nadu),White,No,No
Hambantota,Dry Zone,At 362,2023,Annual,41596,3.5 Months,Long Grain (Nadu),Red,No,No
Hambantota,Dry Zone,At 303,2023,Annual,1801,3 Months,Long Grain (Nadu),Red,No,No
Hambantota,Dry Zone,At 354,2023,Annual,218,3.5 Months,Long Grain (Nadu),White,Yes,No
Killinochchi,Dry Zone,Bg 300,2021,Annual,11578,3 Months,Long Grain (Nadu),White,No,No
Killinochchi,Dry Zone,Attakkari,2021,Annual,7118,4-4.5 Months,Long Grain (Nadu),Red,No,No
Killinochchi,Dry Zone,At 362,2021,Annual,4978,3.5 Months,Long Grain (Nadu),Red,No,No
Killinochchi,Dry Zone,At 353,2021,Annual,1019,3.5 Months,Long Grain (Nadu),Red,Yes,No
Killinochchi,Dry Zone,Bg 300,2023,Annual,8851,3 Months,Long Grain (Nadu),White,No,No
Killinochchi,Dry Zone,Attakkari,2023,Annual,6692,4-4.5 Months,Long Grain (Nadu),Red,No,No
Killinochchi,Dry Zone,At 362,2023,Annual,3946,3.5 Months,Long Grain (Nadu),Red,No,No
Killinochchi,Dry Zone,At 353,2023,Annual,99,3.5 Months,Long Grain (Nadu),Red,Yes,No
Trincomalee,Dry Zone,Bg 360,2021,Annual,10752,3.5 Months,Short Grain (Samba),White,No,No
Trincomalee,Dry Zone,Bg 366,2021,Annual,9213,3.5 Months,Long Grain (Nadu),White,No,No
Trincomalee,Dry Zone,Bw 367,2021,Annual,6769,3.5 Months,Short Grain (Samba),White,No,Yes
Trincomalee,Dry Zone,Bg 366,2023,Annual,18841,3.5 Months,Long Grain (Nadu),White,No,No
Trincomalee,Dry Zone,Bg 352,2023,Annual,12163,3.5 Months,Long Grain (Nadu),White,No,No
Trincomalee,Dry Zone,Bg 360,2023,Annual,7564,3.5 Months,Short Grain (Samba),White,No,No
Trincomalee,Dry Zone,At 354,2023,Annual,338,3.5 Months,Long Grain (Nadu),White,Yes,No
Batticaloa,Dry Zone,Bg 366,2021,Annual,16564,3.5 Months,Long Grain (Nadu),White,No,No
Batticaloa,Dry Zone,Bg 357,2021,Annual,11790,3.5 Months,Long Grain (Nadu),White,No,No
Batticaloa,Dry Zone,At 307,2021,Annual,10563,3 Months,Long Grain (Nadu),White,No,No
Batticaloa,Dry Zone,At 353,2021,Annual,2026,3.5 Months,Long Grain (Nadu),Red,Yes,No
Batticaloa,Dry Zone,Bg 366,2023,Annual,15890,3.5 Months,Long Grain (Nadu),White,No,No
Batticaloa,Dry Zone,At 362,2023,Annual,10706,3.5 Months,Long Grain (Nadu),Red,No,No
Batticaloa,Dry Zone,At 307,2023,Annual,9372,3 Months,Long Grain (Nadu),White,No,No
Monaragala,Intermediate Zone,Bg 352,2021,Annual,17998,3.5 Months,Long Grain (Nadu),White,No,No
Monaragala,Intermediate Zone,At 362,2021,Annual,13064,3.5 Months,Long Grain (Nadu),Red,No,No
Monaragala,Intermediate Zone,Bg 360,2021,Annual,3540,3.5 Months,Short Grain (Samba),White,No,No
Monaragala,Intermediate Zone,Bw 400,2021,Annual,22,4-4.5 Months,Long Grain (Nadu),Red,Yes,Yes
Monaragala,Intermediate Zone,At 362,2023,Annual,16650,3.5 Months,Long Grain (Nadu),Red,No,No
Monaragala,Intermediate Zone,Bg 352,2023,Annual,11138,3.5 Months,Long Grain (Nadu),White,No,No
Monaragala,Intermediate Zone,At 307,2023,Annual,6123,3 Months,Long Grain (Nadu),White,No,No
Monaragala,Intermediate Zone,Bw 400,2023,Annual,66,4-4.5 Months,Long Grain (Nadu),Red,Yes,Yes
Badulla,Intermediate Zone,Bg 352,2021,Annual,6135,3.5 Months,Long Grain (Nadu),White,No,No
Badulla,Intermediate Zone,At 362,2021,Annual,4164,3.5 Months,Long Grain (Nadu),Red,No,No
Badulla,Intermediate Zone,Bw 367,2021,Annual,1227,3.5 Months,Short Grain (Samba),White,No,Yes
Badulla,Intermediate Zone,Bg 366,2023,Annual,6380,3.5 Months,Long Grain (Nadu),White,No,No
Badulla,Intermediate Zone,Bg 352,2023,Annual,6250,3.5 Months,Long Grain (Nadu),White,No,No
Badulla,Intermediate Zone,At 362,2023,Annual,4837,3.5 Months,Long Grain (Nadu),Red,No,No
Matale,Intermediate Zone,Bg 352,2021,Annual,5981,3.5 Months,Long Grain (Nadu),White,No,No
Matale,Intermediate Zone,Bg 374,2021,Annual,3922,3.5 Months,Long Grain (Nadu),White,No,No
Matale,Intermediate Zone,Bw 367,2021,Annual,3121,3.5 Months,Short Grain (Samba),White,No,Yes
Matale,Intermediate Zone,Bg 352,2023,Annual,8561,3.5 Months,Long Grain (Nadu),White,No,No
Matale,Intermediate Zone,Bg 374,2023,Annual,6437,3.5 Months,Long Grain (Nadu),White,No,No
Matale,Intermediate Zone,Bw 367,2023,Annual,3399,3.5 Months,Short Grain (Samba),White,No,Yes
